excluded_ids,excluded_id_count,encounters,positive_30d,delta_vs_reference_n,delta_vs_reference_positive,absolute_n_difference,absolute_positive_difference
"11,13,14",3,69980,6277,-4,-182,4,182
"11,13,14,21",4,69980,6277,-4,-182,4,182
"11,13,14,20",4,69979,6277,-5,-182,5,182
"11,13,14,20,21",5,69979,6277,-5,-182,5,182
"11,13,14,19",4,69974,6277,-10,-182,10,182
"11,13,14,19,21",5,69974,6277,-10,-182,10,182
"11,13,14,19,20",5,69973,6277,-11,-182,11,182
"11,13,14,19,20,21",6,69973,6277,-11,-182,11,182
"11,13,19,20",4,70191,6288,207,-171,207,171
"11,13,19,20,21",5,70191,6288,207,-171,207,171
"11,13,19",3,70192,6288,208,-171,208,171
"11,13,19,21",4,70192,6288,208,-171,208,171
"11,13,20",3,70197,6288,213,-171,213,171
"11,13,20,21",4,70197,6288,213,-171,213,171
"11,13",2,70198,6288,214,-171,214,171
"11,13,21",3,70198,6288,214,-171,214,171
"11,14,19,20",4,70216,6282,232,-177,232,177
"11,14,19,20,21",5,70216,6282,232,-177,232,177
"11,14,19",3,70217,6282,233,-177,233,177
"11,14,19,21",4,70217,6282,233,-177,233,177
"11,14,20",3,70222,6282,238,-177,238,177
"11,14,20,21",4,70222,6282,238,-177,238,177
"11,14",2,70223,6282,239,-177,239,177
"11,14,21",3,70223,6282,239,-177,239,177
"11,19,20",3,70434,6293,450,-166,450,166
"11,19,20,21",4,70434,6293,450,-166,450,166
"11,19",2,70435,6293,451,-166,451,166
"11,19,21",3,70435,6293,451,-166,451,166
"11,20",2,70440,6293,456,-166,456,166
"11,20,21",3,70440,6293,456,-166,456,166
11,1,70441,6293,457,-166,457,166
"11,21",2,70441,6293,457,-166,457,166
"13,14,19,20",4,71050,6277,1066,-182,1066,182
"13,14,19,20,21",5,71050,6277,1066,-182,1066,182
"13,14,19",3,71051,6277,1067,-182,1067,182
"13,14,19,21",4,71051,6277,1067,-182,1067,182
"13,14,20",3,71056,6277,1072,-182,1072,182
"13,14,20,21",4,71056,6277,1072,-182,1072,182
"13,14",2,71057,6277,1073,-182,1073,182
"13,14,21",3,71057,6277,1073,-182,1073,182
"13,19,20",3,71268,6288,1284,-171,1284,171
"13,19,20,21",4,71268,6288,1284,-171,1284,171
"13,19",2,71269,6288,1285,-171,1285,171
"13,19,21",3,71269,6288,1285,-171,1285,171
"13,20",2,71274,6288,1290,-171,1290,171
"13,20,21",3,71274,6288,1290,-171,1290,171
13,1,71275,6288,1291,-171,1291,171
"13,21",2,71275,6288,1291,-171,1291,171
"14,19,20",3,71293,6282,1309,-177,1309,177
"14,19,20,21",4,71293,6282,1309,-177,1309,177
"14,19",2,71294,6282,1310,-177,1310,177
"14,19,21",3,71294,6282,1310,-177,1310,177
"14,20",2,71299,6282,1315,-177,1315,177
"14,20,21",3,71299,6282,1315,-177,1315,177
14,1,71300,6282,1316,-177,1316,177
"14,21",2,71300,6282,1316,-177,1316,177
"19,20",2,71511,6293,1527,-166,1527,166
"19,20,21",3,71511,6293,1527,-166,1527,166
19,1,71512,6293,1528,-166,1528,166
"19,21",2,71512,6293,1528,-166,1528,166
20,1,71517,6293,1533,-166,1533,166
"20,21",2,71517,6293,1533,-166,1533,166
None,0,71518,6293,1534,-166,1534,166
21,1,71518,6293,1534,-166,1534,166
