feature,dtype,feature_type_guess,rows,missing_count,missing_pct,unique_non_null,cardinality_ratio,question_mark_count,unknown_invalid_count,constant,near_unique
weight,str,categorical,101766,98569,96.85847925633315,9,8.843818171098402e-05,0,0,False,False
max_glu_serum,str,categorical,101766,96420,94.74677200636755,3,2.947939390366134e-05,0,0,False,False
A1Cresult,str,categorical,101766,84748,83.27732248491637,3,2.947939390366134e-05,0,0,False,False
medical_specialty,str,categorical,101766,49949,49.08220820313268,72,0.0007075054536878722,0,0,False,False
payer_code,string,categorical,101766,40256,39.5574160328597,17,0.00016704989878741426,0,0,False,False
race,str,categorical,101766,2273,2.2335554114340743,5,4.9132323172768904e-05,0,0,False,False
diag_3,str,categorical,101766,1423,1.398305917497003,789,0.0077530805966629325,0,0,False,False
diag_2,str,categorical,101766,358,0.3517874339170253,748,0.007350195546646228,0,0,False,False
diag_1,str,categorical,101766,21,0.02063557573256294,716,0.007035748678340507,0,0,False,False
num_lab_procedures,int64,numeric,101766,0,0.0,118,0.001159522826877346,0,0,False,False
num_medications,int64,numeric,101766,0,0.0,75,0.0007369848475915335,0,0,False,False
number_outpatient,int64,numeric,101766,0,0.0,39,0.0003832321207475974,0,0,False,False
number_emergency,int64,numeric,101766,0,0.0,33,0.0003242733329402748,0,0,False,False
discharge_disposition_id,int64,categorical_code,101766,0,0.0,26,0.00025548808049839826,0,0,False,False
number_inpatient,int64,numeric,101766,0,0.0,21,0.0002063557573256294,0,0,False,False
admission_source_id,int64,categorical_code,101766,0,0.0,17,0.00016704989878741426,0,0,False,False
number_diagnoses,int64,numeric,101766,0,0.0,16,0.00015722343415286048,0,0,False,False
time_in_hospital,int64,numeric,101766,0,0.0,14,0.00013757050488375291,0,0,False,False
age,str,categorical,101766,0,0.0,10,9.826464634553781e-05,0,0,False,False
admission_type_id,int64,categorical_code,101766,0,0.0,8,7.861171707643024e-05,0,0,False,False
num_procedures,int64,numeric,101766,0,0.0,7,6.878525244187646e-05,0,0,False,False
metformin,str,categorical,101766,0,0.0,4,3.930585853821512e-05,0,0,False,False
repaglinide,str,categorical,101766,0,0.0,4,3.930585853821512e-05,0,0,False,False
nateglinide,str,categorical,101766,0,0.0,4,3.930585853821512e-05,0,0,False,False
chlorpropamide,str,categorical,101766,0,0.0,4,3.930585853821512e-05,0,0,False,False
glimepiride,str,categorical,101766,0,0.0,4,3.930585853821512e-05,0,0,False,False
glipizide,str,categorical,101766,0,0.0,4,3.930585853821512e-05,0,0,False,False
glyburide,str,categorical,101766,0,0.0,4,3.930585853821512e-05,0,0,False,False
pioglitazone,str,categorical,101766,0,0.0,4,3.930585853821512e-05,0,0,False,False
rosiglitazone,str,categorical,101766,0,0.0,4,3.930585853821512e-05,0,0,False,False
acarbose,str,categorical,101766,0,0.0,4,3.930585853821512e-05,0,0,False,False
miglitol,str,categorical,101766,0,0.0,4,3.930585853821512e-05,0,0,False,False
insulin,str,categorical,101766,0,0.0,4,3.930585853821512e-05,0,0,False,False
glyburide-metformin,str,categorical,101766,0,0.0,4,3.930585853821512e-05,0,0,False,False
gender,str,categorical,101766,0,0.0,3,2.947939390366134e-05,0,3,False,False
tolazamide,str,categorical,101766,0,0.0,3,2.947939390366134e-05,0,0,False,False
acetohexamide,str,categorical,101766,0,0.0,2,1.965292926910756e-05,0,0,False,False
tolbutamide,str,categorical,101766,0,0.0,2,1.965292926910756e-05,0,0,False,False
troglitazone,str,categorical,101766,0,0.0,2,1.965292926910756e-05,0,0,False,False
glipizide-metformin,str,categorical,101766,0,0.0,2,1.965292926910756e-05,0,0,False,False
glimepiride-pioglitazone,str,categorical,101766,0,0.0,2,1.965292926910756e-05,0,0,False,False
metformin-rosiglitazone,str,categorical,101766,0,0.0,2,1.965292926910756e-05,0,0,False,False
metformin-pioglitazone,str,categorical,101766,0,0.0,2,1.965292926910756e-05,0,0,False,False
change,str,categorical,101766,0,0.0,2,1.965292926910756e-05,0,0,False,False
diabetesMed,str,categorical,101766,0,0.0,2,1.965292926910756e-05,0,0,False,False
examide,str,categorical,101766,0,0.0,1,9.82646463455378e-06,0,0,True,False
citoglipton,str,categorical,101766,0,0.0,1,9.82646463455378e-06,0,0,True,False
