variant,metric,estimate,ci_lower,ci_upper,bootstrap_standard_error
tuned_xgboost,roc_auc,0.6508197675788134,0.6317521573649746,0.6691152984132656,0.009664885883856096
tuned_xgboost,average_precision,0.17163851047457246,0.1560068913350777,0.19040476088687158,0.008834954177075674
tuned_xgboost,brier_score,0.08055260426223065,0.07976657020389737,0.08136274132090804,0.00041492221302820664
tuned_xgboost,log_loss,0.2959751633387577,0.2931785899570361,0.2987093265740571,0.0014395072999738659
tuned_xgboost_sigmoid,roc_auc,0.6508197675788134,0.6317521573649746,0.6691152984132656,0.009664885883856096
tuned_xgboost_sigmoid,average_precision,0.17163851047457246,0.1560068913350777,0.19040476088687158,0.008834954177075674
tuned_xgboost_sigmoid,brier_score,0.07941848459238085,0.07852251171646772,0.08033672148143019,0.0004581370073608706
tuned_xgboost_sigmoid,log_loss,0.2897418697314984,0.28654982003739937,0.2930145706596937,0.0016738785615945456
tuned_xgboost_isotonic,roc_auc,0.6487902378123769,0.6301123347031311,0.6671804547577809,0.00961493420331292
tuned_xgboost_isotonic,average_precision,0.16476465066125,0.15002737068211774,0.18252800189608476,0.0082347005418346
tuned_xgboost_isotonic,brier_score,0.07934507350298718,0.07850583860750938,0.08018932415144665,0.00043285651386472607
tuned_xgboost_isotonic,log_loss,0.2893126706746613,0.2859884923719979,0.29277727050028785,0.001735180660380302
