comparison,variant_a,variant_b,metric,estimate,ci_lower,ci_upper,bootstrap_standard_error,higher_is_better,ci_excludes_zero,ci_consistently_favors_variant_a,ci_consistently_favors_variant_b
tuned_xgboost_sigmoid_minus_tuned_xgboost,tuned_xgboost_sigmoid,tuned_xgboost,roc_auc,0.0,0.0,0.0,0.0,True,False,False,False
tuned_xgboost_sigmoid_minus_tuned_xgboost,tuned_xgboost_sigmoid,tuned_xgboost,average_precision,0.0,0.0,0.0,0.0,True,False,False,False
tuned_xgboost_sigmoid_minus_tuned_xgboost,tuned_xgboost_sigmoid,tuned_xgboost,brier_score,-0.0011341196698498035,-0.0013834934600602006,-0.0008713004555403015,0.0001338156179688289,False,True,True,False
tuned_xgboost_sigmoid_minus_tuned_xgboost,tuned_xgboost_sigmoid,tuned_xgboost,log_loss,-0.0062332936072592715,-0.007064281147908897,-0.005338596158151224,0.0004446828430553894,False,True,True,False
tuned_xgboost_isotonic_minus_tuned_xgboost,tuned_xgboost_isotonic,tuned_xgboost,roc_auc,-0.0020295297664365552,-0.004350016578020823,0.00041445191196126386,0.001231171070249322,True,False,False,False
tuned_xgboost_isotonic_minus_tuned_xgboost,tuned_xgboost_isotonic,tuned_xgboost,average_precision,-0.006873859813322447,-0.009300481167116794,-0.00466519134329304,0.0011716066917937052,True,True,False,True
tuned_xgboost_isotonic_minus_tuned_xgboost,tuned_xgboost_isotonic,tuned_xgboost,brier_score,-0.001207530759243472,-0.0014357265611412335,-0.0009746033575003852,0.00011800055674078947,False,True,True,False
tuned_xgboost_isotonic_minus_tuned_xgboost,tuned_xgboost_isotonic,tuned_xgboost,log_loss,-0.006662492664096353,-0.007468971119639839,-0.005784472604295159,0.00043580573745074944,False,True,True,False
tuned_xgboost_isotonic_minus_tuned_xgboost_sigmoid,tuned_xgboost_isotonic,tuned_xgboost_sigmoid,roc_auc,-0.0020295297664365552,-0.004350016578020823,0.00041445191196126386,0.001231171070249322,True,False,False,False
tuned_xgboost_isotonic_minus_tuned_xgboost_sigmoid,tuned_xgboost_isotonic,tuned_xgboost_sigmoid,average_precision,-0.006873859813322447,-0.009300481167116794,-0.00466519134329304,0.0011716066917937052,True,True,False,True
tuned_xgboost_isotonic_minus_tuned_xgboost_sigmoid,tuned_xgboost_isotonic,tuned_xgboost_sigmoid,brier_score,-7.341108939366847e-05,-0.0002545302847589921,0.00010905966603230342,9.119990834839523e-05,False,False,False,False
tuned_xgboost_isotonic_minus_tuned_xgboost_sigmoid,tuned_xgboost_isotonic,tuned_xgboost_sigmoid,log_loss,-0.0004291990568370818,-0.0011620842763406744,0.00030775229934204676,0.0003669440717777864,False,False,False,False
