model,bin,mean_predicted_probability,observed_event_rate,calibration_error
logistic_regression,1,0.03635983265356485,0.03333333333333333,-0.003026499320231517
logistic_regression,2,0.04947425718929867,0.054285714285714284,0.004811457096415617
logistic_regression,3,0.05696090465686672,0.06482364156339371,0.007862736906526988
logistic_regression,4,0.06348379316053279,0.07142857142857142,0.007944778268038633
logistic_regression,5,0.07042539078544673,0.07340324118207817,0.00297785039663144
logistic_regression,6,0.07864163825733866,0.07238095238095238,-0.006260685876386285
logistic_regression,7,0.0896363793367553,0.09437559580552908,0.004739216468773774
logistic_regression,8,0.10539054752514401,0.11047619047619048,0.005085642951046465
logistic_regression,9,0.13035985857959564,0.12297426120114395,-0.007385597378451694
logistic_regression,10,0.21940472504681507,0.2,-0.019404725046815063
early_stopped_xgboost,1,0.035007143391904756,0.02761904761904762,-0.007388095772857137
early_stopped_xgboost,2,0.047387550420952426,0.05238095238095238,0.004993401959999956
early_stopped_xgboost,3,0.05557623746615824,0.07530981887511916,0.01973358140896092
early_stopped_xgboost,4,0.06298015631809516,0.06571428571428571,0.0027341293961905544
early_stopped_xgboost,5,0.07041694742707333,0.061010486177311724,-0.009406461249761605
early_stopped_xgboost,6,0.07950761888666662,0.0838095238095238,0.004301904922857189
early_stopped_xgboost,7,0.09099725097235473,0.09437559580552908,0.0033783448331743543
early_stopped_xgboost,8,0.10540372840000009,0.10761904761904761,0.0022153192190475235
early_stopped_xgboost,9,0.12874335744232607,0.1334604385128694,0.004717081070543333
early_stopped_xgboost,10,0.22912810229523808,0.1961904761904762,-0.03293762610476189
tuned_xgboost,1,0.06590136715523826,0.03142857142857143,-0.034472795726666824
tuned_xgboost,2,0.07989922230095232,0.04857142857142857,-0.031327793729523754
tuned_xgboost,3,0.08865539704957098,0.06387035271687322,-0.024785044332697764
tuned_xgboost,4,0.09635704765047619,0.07238095238095238,-0.02397609526952381
tuned_xgboost,5,0.1056479505471878,0.07435653002859867,-0.03129142051858913
tuned_xgboost,6,0.11925653884095233,0.06952380952380953,-0.0497327293171428
tuned_xgboost,7,0.13436668225929468,0.09723546234509056,-0.03713121991420412
tuned_xgboost,8,0.14952205420952402,0.10380952380952381,-0.045712530400000215
tuned_xgboost,9,0.17031216916110575,0.12488083889418494,-0.04543133026692081
tuned_xgboost,10,0.2611056898666663,0.21142857142857144,-0.049677118438094886
