discharge_disposition_id,count,readmitted_30d_count,readmitted_30d_rate
1,44317,3078,0.06945415980323578
2,1539,212,0.13775178687459388
3,8784,1176,0.13387978142076504
4,541,56,0.10351201478743069
5,913,188,0.2059145673603505
6,8289,789,0.09518639160332971
7,409,39,0.09535452322738386
8,73,7,0.0958904109589041
9,9,2,0.2222222222222222
10,6,0,0.0
12,2,1,0.5
15,40,18,0.45
16,3,0,0.0
17,8,0,0.0
18,2474,251,0.10145513338722716
22,1410,371,0.2631205673758865
23,260,8,0.03076923076923077
24,25,1,0.04
25,778,48,0.061696658097686374
27,3,0,0.0
28,90,32,0.35555555555555557
