transformed_index,transformer,transformed_feature,source_feature
0,numeric,numeric__time_in_hospital,time_in_hospital
1,numeric,numeric__num_lab_procedures,num_lab_procedures
2,numeric,numeric__num_procedures,num_procedures
3,numeric,numeric__num_medications,num_medications
4,numeric,numeric__number_outpatient,number_outpatient
5,numeric,numeric__number_emergency,number_emergency
6,numeric,numeric__number_inpatient,number_inpatient
7,numeric,numeric__number_diagnoses,number_diagnoses
8,diagnosis,diagnosis__diag_1_Circulatory,diag_1
9,diagnosis,diagnosis__diag_1_Diabetes,diag_1
10,diagnosis,diagnosis__diag_1_Respiratory,diag_1
11,diagnosis,diagnosis__diag_1_Digestive,diag_1
12,diagnosis,diagnosis__diag_1_Genitourinary,diag_1
13,diagnosis,diagnosis__diag_1_Musculoskeletal,diag_1
14,diagnosis,diagnosis__diag_1_Neoplasms,diag_1
15,diagnosis,diagnosis__diag_1_Injury,diag_1
16,diagnosis,diagnosis__diag_1_Other,diag_1
17,diagnosis,diagnosis__diag_1_Missing,diag_1
18,diagnosis,diagnosis__diag_2_Circulatory,diag_2
19,diagnosis,diagnosis__diag_2_Diabetes,diag_2
20,diagnosis,diagnosis__diag_2_Respiratory,diag_2
21,diagnosis,diagnosis__diag_2_Digestive,diag_2
22,diagnosis,diagnosis__diag_2_Genitourinary,diag_2
23,diagnosis,diagnosis__diag_2_Musculoskeletal,diag_2
24,diagnosis,diagnosis__diag_2_Neoplasms,diag_2
25,diagnosis,diagnosis__diag_2_Injury,diag_2
26,diagnosis,diagnosis__diag_2_Other,diag_2
27,diagnosis,diagnosis__diag_2_Missing,diag_2
28,diagnosis,diagnosis__diag_3_Circulatory,diag_3
29,diagnosis,diagnosis__diag_3_Diabetes,diag_3
30,diagnosis,diagnosis__diag_3_Respiratory,diag_3
31,diagnosis,diagnosis__diag_3_Digestive,diag_3
32,diagnosis,diagnosis__diag_3_Genitourinary,diag_3
33,diagnosis,diagnosis__diag_3_Musculoskeletal,diag_3
34,diagnosis,diagnosis__diag_3_Neoplasms,diag_3
35,diagnosis,diagnosis__diag_3_Injury,diag_3
36,diagnosis,diagnosis__diag_3_Other,diag_3
37,diagnosis,diagnosis__diag_3_Missing,diag_3
38,categorical,categorical__race_AfricanAmerican,race
39,categorical,categorical__race_Asian,race
40,categorical,categorical__race_Caucasian,race
41,categorical,categorical__race_Hispanic,race
42,categorical,categorical__race_Missing,race
43,categorical,categorical__race_Other,race
44,categorical,categorical__gender_Female,gender
45,categorical,categorical__gender_Male,gender
46,categorical,categorical__gender_Unknown/Invalid,gender
47,categorical,categorical__age_[0-10),age
48,categorical,categorical__age_[10-20),age
49,categorical,categorical__age_[20-30),age
50,categorical,categorical__age_[30-40),age
51,categorical,categorical__age_[40-50),age
52,categorical,categorical__age_[50-60),age
53,categorical,categorical__age_[60-70),age
54,categorical,categorical__age_[70-80),age
55,categorical,categorical__age_[80-90),age
56,categorical,categorical__age_[90-100),age
57,categorical,categorical__admission_type_id_1,admission_type_id
58,categorical,categorical__admission_type_id_2,admission_type_id
59,categorical,categorical__admission_type_id_3,admission_type_id
60,categorical,categorical__admission_type_id_4,admission_type_id
61,categorical,categorical__admission_type_id_5,admission_type_id
62,categorical,categorical__admission_type_id_6,admission_type_id
63,categorical,categorical__admission_type_id_7,admission_type_id
64,categorical,categorical__admission_type_id_8,admission_type_id
65,categorical,categorical__discharge_disposition_id_1,discharge_disposition_id
66,categorical,categorical__discharge_disposition_id_10,discharge_disposition_id
67,categorical,categorical__discharge_disposition_id_12,discharge_disposition_id
68,categorical,categorical__discharge_disposition_id_15,discharge_disposition_id
69,categorical,categorical__discharge_disposition_id_16,discharge_disposition_id
70,categorical,categorical__discharge_disposition_id_17,discharge_disposition_id
71,categorical,categorical__discharge_disposition_id_18,discharge_disposition_id
72,categorical,categorical__discharge_disposition_id_2,discharge_disposition_id
73,categorical,categorical__discharge_disposition_id_22,discharge_disposition_id
74,categorical,categorical__discharge_disposition_id_23,discharge_disposition_id
75,categorical,categorical__discharge_disposition_id_24,discharge_disposition_id
76,categorical,categorical__discharge_disposition_id_25,discharge_disposition_id
77,categorical,categorical__discharge_disposition_id_27,discharge_disposition_id
78,categorical,categorical__discharge_disposition_id_28,discharge_disposition_id
79,categorical,categorical__discharge_disposition_id_3,discharge_disposition_id
80,categorical,categorical__discharge_disposition_id_4,discharge_disposition_id
81,categorical,categorical__discharge_disposition_id_5,discharge_disposition_id
82,categorical,categorical__discharge_disposition_id_6,discharge_disposition_id
83,categorical,categorical__discharge_disposition_id_7,discharge_disposition_id
84,categorical,categorical__discharge_disposition_id_8,discharge_disposition_id
85,categorical,categorical__discharge_disposition_id_9,discharge_disposition_id
86,categorical,categorical__admission_source_id_1,admission_source_id
87,categorical,categorical__admission_source_id_10,admission_source_id
88,categorical,categorical__admission_source_id_11,admission_source_id
89,categorical,categorical__admission_source_id_13,admission_source_id
90,categorical,categorical__admission_source_id_14,admission_source_id
91,categorical,categorical__admission_source_id_17,admission_source_id
92,categorical,categorical__admission_source_id_2,admission_source_id
93,categorical,categorical__admission_source_id_20,admission_source_id
94,categorical,categorical__admission_source_id_22,admission_source_id
95,categorical,categorical__admission_source_id_25,admission_source_id
96,categorical,categorical__admission_source_id_3,admission_source_id
97,categorical,categorical__admission_source_id_4,admission_source_id
98,categorical,categorical__admission_source_id_5,admission_source_id
99,categorical,categorical__admission_source_id_6,admission_source_id
100,categorical,categorical__admission_source_id_7,admission_source_id
101,categorical,categorical__admission_source_id_8,admission_source_id
102,categorical,categorical__admission_source_id_9,admission_source_id
103,categorical,categorical__payer_code_BC,payer_code
104,categorical,categorical__payer_code_CH,payer_code
105,categorical,categorical__payer_code_CM,payer_code
106,categorical,categorical__payer_code_CP,payer_code
107,categorical,categorical__payer_code_DM,payer_code
108,categorical,categorical__payer_code_FR,payer_code
109,categorical,categorical__payer_code_HM,payer_code
110,categorical,categorical__payer_code_MC,payer_code
111,categorical,categorical__payer_code_MD,payer_code
112,categorical,categorical__payer_code_MP,payer_code
113,categorical,categorical__payer_code_Missing,payer_code
114,categorical,categorical__payer_code_OG,payer_code
115,categorical,categorical__payer_code_OT,payer_code
116,categorical,categorical__payer_code_PO,payer_code
117,categorical,categorical__payer_code_SI,payer_code
118,categorical,categorical__payer_code_SP,payer_code
119,categorical,categorical__payer_code_UN,payer_code
120,categorical,categorical__payer_code_WC,payer_code
121,categorical,categorical__metformin_Down,metformin
122,categorical,categorical__metformin_No,metformin
123,categorical,categorical__metformin_Steady,metformin
124,categorical,categorical__metformin_Up,metformin
125,categorical,categorical__repaglinide_Down,repaglinide
126,categorical,categorical__repaglinide_No,repaglinide
127,categorical,categorical__repaglinide_Steady,repaglinide
128,categorical,categorical__repaglinide_Up,repaglinide
129,categorical,categorical__nateglinide_Down,nateglinide
130,categorical,categorical__nateglinide_No,nateglinide
131,categorical,categorical__nateglinide_Steady,nateglinide
132,categorical,categorical__nateglinide_Up,nateglinide
133,categorical,categorical__chlorpropamide_Down,chlorpropamide
134,categorical,categorical__chlorpropamide_No,chlorpropamide
135,categorical,categorical__chlorpropamide_Steady,chlorpropamide
136,categorical,categorical__chlorpropamide_Up,chlorpropamide
137,categorical,categorical__glimepiride_Down,glimepiride
138,categorical,categorical__glimepiride_No,glimepiride
139,categorical,categorical__glimepiride_Steady,glimepiride
140,categorical,categorical__glimepiride_Up,glimepiride
141,categorical,categorical__acetohexamide_No,acetohexamide
142,categorical,categorical__acetohexamide_Steady,acetohexamide
143,categorical,categorical__glipizide_Down,glipizide
144,categorical,categorical__glipizide_No,glipizide
145,categorical,categorical__glipizide_Steady,glipizide
146,categorical,categorical__glipizide_Up,glipizide
147,categorical,categorical__glyburide_Down,glyburide
148,categorical,categorical__glyburide_No,glyburide
149,categorical,categorical__glyburide_Steady,glyburide
150,categorical,categorical__glyburide_Up,glyburide
151,categorical,categorical__tolbutamide_No,tolbutamide
152,categorical,categorical__tolbutamide_Steady,tolbutamide
153,categorical,categorical__pioglitazone_Down,pioglitazone
154,categorical,categorical__pioglitazone_No,pioglitazone
155,categorical,categorical__pioglitazone_Steady,pioglitazone
156,categorical,categorical__pioglitazone_Up,pioglitazone
157,categorical,categorical__rosiglitazone_Down,rosiglitazone
