rank,transformed_feature,mean_abs_shap,mean_signed_shap,transformer,source_feature
1,categorical__discharge_disposition_id_1,0.2181297561622148,-0.027160851093196648,categorical,discharge_disposition_id
2,numeric__number_inpatient,0.12349717192410026,-0.019167113856472098,numeric,number_inpatient
3,numeric__time_in_hospital,0.06687380475185699,-0.001694642156826064,numeric,time_in_hospital
4,categorical__payer_code_Missing,0.043569739993139726,-0.003989661631172433,categorical,payer_code
5,diagnosis__diag_1_Circulatory,0.04111064149409264,-0.0017461624511824771,diagnosis,diag_1
6,categorical__discharge_disposition_id_22,0.038218742164312196,-0.011897828102208711,categorical,discharge_disposition_id
7,categorical__age_[50-60),0.037650071176514296,-0.0016171531521986641,categorical,age
8,numeric__number_diagnoses,0.030721105178457372,-0.0013191843573139295,numeric,number_diagnoses
9,categorical__discharge_disposition_id_3,0.0295859924418193,-0.005832167100135582,categorical,discharge_disposition_id
10,categorical__diabetesMed_No,0.027777393324808556,-0.001236547720768668,categorical,diabetesMed
11,numeric__num_lab_procedures,0.024690223198900837,-0.0025050581770462333,numeric,num_lab_procedures
12,numeric__number_emergency,0.023142556578039413,-0.001954275436058352,numeric,number_emergency
13,numeric__num_medications,0.022333413406077605,-0.0025639821385110184,numeric,num_medications
14,categorical__discharge_disposition_id_6,0.016762704733793564,0.0032777317359840995,categorical,discharge_disposition_id
15,categorical__discharge_disposition_id_5,0.015349328787656637,-0.00445932910845774,categorical,discharge_disposition_id
16,diagnosis__diag_2_Neoplasms,0.013277591864577028,-0.00028043392328860005,diagnosis,diag_2
17,categorical__diabetesMed_Yes,0.01127288879707998,-0.000497791096158724,categorical,diabetesMed
18,diagnosis__diag_1_Musculoskeletal,0.008596831685469913,-0.00035919864975345793,diagnosis,diag_1
19,categorical__insulin_No,0.00849777132034529,-0.00041775722758200705,categorical,insulin
20,categorical__admission_type_id_1,0.00742174471669582,-0.0012301474908608572,categorical,admission_type_id
21,numeric__number_outpatient,0.007018713314602248,1.209804970280524e-05,numeric,number_outpatient
22,categorical__admission_source_id_7,0.006809360553238507,0.0002695587969884905,categorical,admission_source_id
23,categorical__discharge_disposition_id_2,0.006340772677951114,-0.0009388113278883494,categorical,discharge_disposition_id
24,categorical__insulin_Down,0.005996897297558373,-0.0004091154296142255,categorical,insulin
25,specialty__medical_specialty_Orthopedics-Reconstructive,0.005928698954447186,-0.0007982545561921691,specialty,medical_specialty
26,diagnosis__diag_1_Diabetes,0.005833507927940356,-0.00017000922222972048,diagnosis,diag_1
